"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"gender-bias"
"12/14/2021 18:31:00:917 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"43","15","gender-bias","500","25","8","0.1831831831831832","0.36936936936936937"
"38","15","gender-bias","500","25","7","0.17688679245283018","0.330188679245283"
"43","15","gender-bias","500","25","9","0.1875","0.37202380952380953"
"43","15","gender-bias","500","25","10","0.1863905325443787","0.3698224852071006"
"40","15","gender-bias","500","25","0","0","0"
"40","15","gender-bias","500","25","1","0.2222222222222222","0.5694444444444444"
"40","15","gender-bias","500","25","2","0.18128654970760233","0.5906432748538012"
"40","15","gender-bias","500","25","3","0.20416666666666666","0.5791666666666667"
"40","15","gender-bias","500","25","4","0.21212121212121213","0.5791245791245792"
"45","15","gender-bias","500","25","0","0","0"
"47","15","gender-bias","500","25","0","0","0"
"45","15","gender-bias","500","25","1","0.26582278481012656","0.46835443037974683"
"47","15","gender-bias","500","25","1","0.125","0.20833333333333334"
"49","15","gender-bias","500","25","0","0","0"
"45","15","gender-bias","500","25","2","0.1778846153846154","0.3173076923076923"
"48","15","gender-bias","500","25","0","0","0"
"47","15","gender-bias","500","25","2","0.07563025210084033","0.12605042016806722"
"45","15","gender-bias","500","25","3","0.16727272727272727","0.29454545454545455"
"48","15","gender-bias","500","25","1","0.36","0.8133333333333334"
"51","15","gender-bias","500","25","0","0","0"
"46","15","gender-bias","500","25","0","0","0"
"51","15","gender-bias","500","25","1","0.375","0.7916666666666666"
"48","15","gender-bias","500","25","2","0.3709677419354839","0.8064516129032258"
"40","15","gender-bias","500","25","5","0.23030303030303031","0.593939393939394"
"50","15","gender-bias","500","25","0","0","0"
"45","15","gender-bias","500","25","4","0.17263843648208468","0.30618892508143325"
"48","15","gender-bias","500","25","3","0.3970223325062035","0.8238213399503722"
"49","15","gender-bias","500","25","1","0.23300970873786409","0.44660194174757284"
"51","15","gender-bias","500","25","2","0.3037974683544304","0.7088607594936709"
"46","15","gender-bias","500","25","1","0.12121212121212122","0.1717171717171717"
"49","15","gender-bias","500","25","2","0.17647058823529413","0.33613445378151263"
"51","15","gender-bias","500","25","3","0.3567708333333333","0.7265625"
"49","15","gender-bias","500","25","3","0.1611842105263158","0.3223684210526316"
"46","15","gender-bias","500","25","2","0.06896551724137931","0.09770114942528736"
"50","15","gender-bias","500","25","1","0.26666666666666666","0.5111111111111111"
"49","15","gender-bias","500","25","4","0.17177914110429449","0.34049079754601225"
"45","15","gender-bias","500","25","5","0.17484662576687116","0.3098159509202454"
"49","15","gender-bias","500","25","5","0.1752873563218391","0.35344827586206895"
"49","15","gender-bias","500","25","6","0.17777777777777778","0.35555555555555557"
"45","15","gender-bias","500","25","6","0.17784256559766765","0.3119533527696793"
"49","15","gender-bias","500","25","7","0.1783783783783784","0.35405405405405405"
"51","15","gender-bias","500","25","4","0.36225596529284165","0.7483731019522777"
"49","15","gender-bias","500","25","8","0.1769436997319035","0.3512064343163539"
"45","15","gender-bias","500","25","7","0.1791907514450867","0.315028901734104"
"50","15","gender-bias","500","25","2","0.1897810218978102","0.35766423357664234"
"51","15","gender-bias","500","25","5","0.36058700209643607","0.7526205450733753"
"45","15","gender-bias","500","25","8","0.1810344827586207","0.3160919540229885"
"51","15","gender-bias","500","25","6","0.36041666666666666","0.7520833333333333"
"50","15","gender-bias","500","25","3","0.1813953488372093","0.3627906976744186"
"48","15","gender-bias","500","25","4","0.39732142857142855","0.8258928571428571"
"50","15","gender-bias","500","25","4","0.18571428571428572","0.37142857142857144"
"52","15","gender-bias","500","25","0","0","0"
"48","15","gender-bias","500","25","5","0.39606126914660833","0.824945295404814"
"50","15","gender-bias","500","25","5","0.19230769230769232","0.3814102564102564"
"50","15","gender-bias","500","25","6","0.18862275449101795","0.38023952095808383"
"50","15","gender-bias","500","25","7","0.19005847953216373","0.38011695906432746"
"52","15","gender-bias","500","25","1","0.08396946564885496","0.19083969465648856"
"52","15","gender-bias","500","25","2","0.05583756345177665","0.12690355329949238"
"40","15","gender-bias","500","25","6","0.2457627118644068","0.596045197740113"
"40","15","gender-bias","500","25","7","0.2546419098143236","0.6074270557029178"
"40","15","gender-bias","500","25","8","0.26342710997442453","0.6112531969309463"
"40","15","gender-bias","500","25","9","0.2594458438287154","0.6095717884130982"
"50","15","gender-bias","500","25","8","0.18840579710144928","0.3855072463768116"
"54","15","gender-bias","500","25","0","0","0"
"54","15","gender-bias","500","25","1","0.23595505617977527","0.6292134831460674"
"54","15","gender-bias","500","25","2","0.25","0.5694444444444444"
"53","15","gender-bias","500","25","0","0","0"
"57","15","gender-bias","500","25","0","0","0"
"53","15","gender-bias","500","25","1","0.2708333333333333","0.5833333333333334"
"54","15","gender-bias","500","25","3","0.28023598820059","0.5663716814159292"
"57","15","gender-bias","500","25","1","0.2608695652173913","0.5"
"54","15","gender-bias","500","25","4","0.2909930715935335","0.5889145496535797"
"57","15","gender-bias","500","25","2","0.2595419847328244","0.5419847328244275"
"54","15","gender-bias","500","25","5","0.2913907284768212","0.5938189845474614"
"54","15","gender-bias","500","25","6","0.2910284463894967","0.5908096280087527"
"53","15","gender-bias","500","25","2","0.2198581560283688","0.5035460992907801"
"57","15","gender-bias","500","25","3","0.26119402985074625","0.5447761194029851"
"53","15","gender-bias","500","25","3","0.21304347826086956","0.5260869565217391"
"57","15","gender-bias","500","25","4","0.2647058823529412","0.5828877005347594"
"53","15","gender-bias","500","25","4","0.24305555555555555","0.5555555555555556"
"57","15","gender-bias","500","25","5","0.2702702702702703","0.5995085995085995"
"53","15","gender-bias","500","25","5","0.25895316804407714","0.581267217630854"
"57","15","gender-bias","500","25","6","0.2703349282296651","0.5980861244019139"
"57","15","gender-bias","500","25","7","0.27315914489311166","0.6009501187648456"
"58","15","gender-bias","500","25","0","0","0"
"53","15","gender-bias","500","25","6","0.2594458438287154","0.5818639798488665"
"58","15","gender-bias","500","25","1","0.28431372549019607","0.6078431372549019"
"58","15","gender-bias","500","25","2","0.21951219512195122","0.4796747967479675"
"56","15","gender-bias","500","25","0","0","0"
"58","15","gender-bias","500","25","3","0.25892857142857145","0.5297619047619048"
"53","15","gender-bias","500","25","7","0.26535626535626533","0.5872235872235873"
"53","15","gender-bias","500","25","8","0.2669902912621359","0.5898058252427184"
"58","15","gender-bias","500","25","4","0.2555831265508685","0.543424317617866"
"56","15","gender-bias","500","25","1","0.2","0.65"
"58","15","gender-bias","500","25","5","0.2523809523809524","0.55"
"58","15","gender-bias","500","25","6","0.25118483412322273","0.5497630331753555"
"56","15","gender-bias","500","25","2","0.22842639593908629","0.5583756345177665"
"53","15","gender-bias","500","25","9","0.26506024096385544","0.5879518072289157"
"60","15","gender-bias","500","25","0","0","0"
"56","15","gender-bias","500","25","3","0.2413793103448276","0.5642633228840125"
"55","15","gender-bias","500","25","0","0","0"
"60","15","gender-bias","500","25","1","0","0"
"55","15","gender-bias","500","25","1","0.4605263157894737","0.8157894736842105"
"56","15","gender-bias","500","25","4","0.24938271604938272","0.5703703703703704"
"55","15","gender-bias","500","25","2","0.4","0.7636363636363637"
"56","15","gender-bias","500","25","5","0.24885844748858446","0.5753424657534246"
"55","15","gender-bias","500","25","3","0.4009111617312073","0.7949886104783599"
"56","15","gender-bias","500","25","6","0.25112107623318386","0.5739910313901345"
"61","15","gender-bias","500","25","0","0","0"
"55","15","gender-bias","500","25","4","0.4109014675052411","0.8113207547169812"
"56","15","gender-bias","500","25","7","0.25389755011135856","0.5746102449888641"
"55","15","gender-bias","500","25","5","0.41041666666666665","0.8104166666666667"
"56","15","gender-bias","500","25","8","0.2549889135254989","0.5764966740576497"
"61","15","gender-bias","500","25","1","0.16666666666666666","0.23148148148148148"
"61","15","gender-bias","500","25","2","0.08144796380090498","0.11312217194570136"
"62","15","gender-bias","500","25","0","0","0"
"59","15","gender-bias","500","25","0","0","0"
"62","15","gender-bias","500","25","1","0.3522727272727273","0.75"
